Name	path	direction	Data type	duration
backward(67)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(67).wav	backward	wav	5.4335
backward(41)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(41).wav	backward	wav	2.7089375
stop(48)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(48).wav	stop	wav	4.62075
stop(44)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(44).wav	stop	wav	3.9253125
left(43)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(43).wav	left	wav	4.2056875
right(1)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(1).wav	right	wav	2.87925
stop(61)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(61).wav	stop	wav	4.2956875
right(3)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(3).wav	right	wav	2.71675
backward(54)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(54).wav	backward	wav	4.4373125
backward(44)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(44).wav	backward	wav	4.4146875
forward(58)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(58).wav	forward	wav	12.736
right(29)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(29).wav	right	wav	2.9489375
backward(20)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(20).wav	backward	wav	4.2260625
forward(35)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(35).wav	forward	wav	4.3525
right(7)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(7).wav	right	wav	2.995375
forward(64)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(64).wav	forward	wav	5.712125
forward(74)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(74).wav	forward	wav	5.248
forward(54)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(54).wav	forward	wav	3.970625
stop(21)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(21).wav	stop	wav	2.0898125
forward(38)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(38).wav	forward	wav	3.2751875
backward(19)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(19).wav	backward	wav	3.8313125
forward(53)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(53).wav	forward	wav	6.272
right(21)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(21).wav	right	wav	3.552625
left(16)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(16).wav	left	wav	3.970625
stop(22)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(22).wav	stop	wav	2.205875
forward(16)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(16).wav	forward	wav	4.3189375
backward(63)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(63).wav	backward	wav	5.7353125
forward(70)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(70).wav	forward	wav	6.0139375
backward(23)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(23).wav	backward	wav	4.45825
right(70)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(70).wav	right	wav	5.1780625
forward(43)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(43).wav	forward	wav	6.0373125
forward(55)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(55).wav	forward	wav	7.424
left(30)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(30).wav	left	wav	3.03325
left(10)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(10).wav	left	wav	2.5774375
stop(26)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(26).wav	stop	wav	2.71675
forward(47)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(47).wav	forward	wav	5.3333125
left(47)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(47).wav	left	wav	3.9893125
stop(65)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(65).wav	stop	wav	2.6674375
forward(68)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(68).wav	forward	wav	5.7353125
left(53)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(53).wav	left	wav	4.16
forward(29)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(29).wav	forward	wav	3.9009375
backward(15)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(15).wav	backward	wav	3.692
backward(65)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(65).wav	backward	wav	6.7105625
left(29)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(29).wav	left	wav	3.784875
right(25)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(25).wav	right	wav	2.9025
stop(70)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(70).wav	stop	wav	3.274
stop(18)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(18).wav	stop	wav	2.1594375
left(46)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(46).wav	left	wav	5.0773125
backward(18)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(18).wav	backward	wav	3.6223125
forward(25)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(25).wav	forward	wav	4.1099375
right(22)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(22).wav	right	wav	3.761625
right(67)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(67).wav	right	wav	3.8545
left(56)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(56).wav	left	wav	5.1626875
right(38)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(38).wav	right	wav	2.530875
stop(28)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(28).wav	stop	wav	2.7399375
forward(7)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(7).wav	forward	wav	4.0170625
left(12)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(12).wav	left	wav	3.08825
left(2)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(2).wav	left	wav	3.5294375
stop(4)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(4).wav	stop	wav	1.7879375
stop(11)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(11).wav	stop	wav	2.7631875
forward(18)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(18).wav	forward	wav	5.3638125
left(32)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(32).wav	left	wav	3.475125
forward(1)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(1).wav	forward	wav	5.1780625
stop(40)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(40).wav	stop	wav	2.0713125
stop(56)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(56).wav	stop	wav	2.1554375
right(14)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(14).wav	right	wav	3.0418125
backward(13)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(13).wav	backward	wav	3.761625
right(59)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(59).wav	right	wav	5.376
backward(61)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(61).wav	backward	wav	2.6245
stop(58)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(58).wav	stop	wav	3.2213125
left(68)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(68).wav	left	wav	5.0851875
forward(17)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(17).wav	forward	wav	4.62075
stop(43)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(43).wav	stop	wav	3.3706875
stop(76)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(76).wav	stop	wav	2.6779375
stop(47)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(47).wav	stop	wav	2.7093125
right(63)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(63).wav	right	wav	4.9706875
forward(36)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(36).wav	forward	wav	4.1105
left(65)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(65).wav	left	wav	3.00875
left(48)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(48).wav	left	wav	5.4566875
stop(52)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(52).wav	stop	wav	3.072
stop(14)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(14).wav	stop	wav	2.438125
right(74)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(74).wav	right	wav	4.1813125
forward(49)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(49).wav	forward	wav	5.1780625
backward(49)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(49).wav	backward	wav	6.1533125
left(63)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(63).wav	left	wav	5.248
backward(5)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(5).wav	backward	wav	4.8761875
forward(13)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(13).wav	forward	wav	3.8313125
left(39)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(39).wav	left	wav	3.9925625
left(72)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(72).wav	left	wav	4.48
right(58)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(58).wav	right	wav	4.48
backward(26)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(26).wav	backward	wav	4.1099375
backward(57)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(57).wav	backward	wav	7.2106875
forward(27)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(27).wav	forward	wav	3.947375
forward(56)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(56).wav	forward	wav	6.0373125
forward(26)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(26).wav	forward	wav	4.0635
backward(16)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(16).wav	backward	wav	4.3189375
right(37)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(37).wav	right	wav	3.53
right(54)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(54).wav	right	wav	3.483
stop(41)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(41).wav	stop	wav	1.50925
right(51)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(51).wav	right	wav	3.968
left(23)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(23).wav	left	wav	3.7151875
forward(6)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(6).wav	forward	wav	4.435
left(36)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(36).wav	left	wav	4.1105
backward(60)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(60).wav	backward	wav	5.9733125
forward(62)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(62).wav	forward	wav	5.0851875
backward(6)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(6).wav	backward	wav	5.0619375
right(44)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(44).wav	right	wav	3.3979375
backward(38)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(38).wav	backward	wav	3.176
right(73)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(73).wav	right	wav	4.3946875
right(12)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(12).wav	right	wav	2.6935
right(18)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(18).wav	right	wav	2.786375
stop(38)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(38).wav	stop	wav	1.985
left(54)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(54).wav	left	wav	3.9009375
right(2)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(2).wav	right	wav	3.552625
right(24)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(24).wav	right	wav	3.2275625
right(34)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(34).wav	right	wav	2.6083125
backward(3)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(3).wav	backward	wav	3.7151875
right(30)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(30).wav	right	wav	3.21525
stop(75)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(75).wav	stop	wav	3.7355
backward(58)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(58).wav	backward	wav	3.1794375
forward(28)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(28).wav	forward	wav	4.0866875
backward(47)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(47).wav	backward	wav	5.7813125
forward(31)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(31).wav	forward	wav	4.0905
right(10)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(10).wav	right	wav	2.7399375
right(40)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(40).wav	right	wav	2.6726875
stop(13)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(13).wav	stop	wav	2.020125
stop(16)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(16).wav	stop	wav	2.229125
stop(60)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(60).wav	stop	wav	2.1973125
backward(8)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(8).wav	backward	wav	5.0619375
stop(36)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(36).wav	stop	wav	2.561625
right(53)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(53).wav	right	wav	3.2426875
stop(6)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(6).wav	stop	wav	2.6935
left(15)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(15).wav	left	wav	2.786375
forward(3)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(3).wav	forward	wav	4.551125
forward(5)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(5).wav	forward	wav	4.04025
backward(69)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(69).wav	backward	wav	5.805
forward(51)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(51).wav	forward	wav	5.0346875
right(26)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(26).wav	right	wav	2.995375
right(23)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(23).wav	right	wav	3.1579375
right(17)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(17).wav	right	wav	2.9489375
backward(75)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(75).wav	backward	wav	4.296375
right(50)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(50).wav	right	wav	4.886125
right(42)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(42).wav	right	wav	3.4105625
forward(72)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(72).wav	forward	wav	4.133125
backward(45)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(45).wav	backward	wav	6.656
left(70)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(70).wav	left	wav	5.387
left(69)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(69).wav	left	wav	5.874625
forward(32)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(32).wav	forward	wav	4.2246875
backward(39)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(39).wav	backward	wav	5.703625
backward(4)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(4).wav	backward	wav	2.9025
left(59)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(59).wav	left	wav	5.0346875
stop(25)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(25).wav	stop	wav	2.71675
left(57)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(57).wav	left	wav	3.26475
left(38)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(38).wav	left	wav	3.225625
left(62)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(62).wav	left	wav	5.7585625
left(5)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(5).wav	left	wav	3.8545
backward(74)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(74).wav	backward	wav	5.0346875
forward(76)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(76).wav	forward	wav	5.824
left(8)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(8).wav	left	wav	3.9241875
forward(20)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(20).wav	forward	wav	4.1099375
right(32)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(32).wav	right	wav	3.815875
stop(9)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(9).wav	stop	wav	1.9040625
stop(32)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(32).wav	stop	wav	2.1805
backward(33)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(33).wav	backward	wav	5.242375
stop(15)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(15).wav	stop	wav	2.1826875
left(60)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(60).wav	left	wav	4.9714375
left(20)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(20).wav	left	wav	3.5990625
left(66)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(66).wav	left	wav	3.8545
left(45)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(45).wav	left	wav	6.5066875
forward(23)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(23).wav	forward	wav	4.1795625
left(67)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(67).wav	left	wav	4.0635
left(6)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(6).wav	left	wav	3.390125
backward(56)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(56).wav	backward	wav	8.2773125
left(61)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(61).wav	left	wav	3.4773125
backward(42)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(42).wav	backward	wav	4.0306875
right(75)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(75).wav	right	wav	4.2056875
forward(22)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(22).wav	forward	wav	3.87775
forward(21)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(21).wav	forward	wav	5.0619375
backward(46)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(46).wav	backward	wav	3.8779375
forward(12)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(12).wav	forward	wav	3.761625
left(19)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(19).wav	left	wav	3.2508125
stop(55)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(55).wav	stop	wav	4.7573125
left(41)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(41).wav	left	wav	2.3219375
backward(21)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(21).wav	backward	wav	4.5975625
right(20)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(20).wav	right	wav	2.623875
forward(61)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(61).wav	forward	wav	4.992
backward(9)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(9).wav	backward	wav	3.8080625
left(40)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(40).wav	left	wav	3.6749375
stop(39)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(39).wav	stop	wav	2.688875
forward(57)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(57).wav	forward	wav	3.862125
backward(72)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(72).wav	backward	wav	4.04025
backward(2)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(2).wav	backward	wav	3.8080625
stop(50)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(50).wav	stop	wav	3.4346875
forward(71)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(71).wav	forward	wav	6.083625
right(39)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(39).wav	right	wav	3.748125
stop(10)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(10).wav	stop	wav	2.043375
forward(75)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(75).wav	forward	wav	5.3546875
backward(66)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(66).wav	backward	wav	3.862125
forward(30)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(30).wav	forward	wav	4.6711875
right(6)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(6).wav	right	wav	3.45975
right(57)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(57).wav	right	wav	3.00875
backward(32)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(32).wav	backward	wav	3.6114375
forward(24)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(24).wav	forward	wav	4.156375
forward(33)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(33).wav	forward	wav	4.4630625
left(31)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(31).wav	left	wav	3.6928125
left(55)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(55).wav	left	wav	6.4853125
right(36)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(36).wav	right	wav	3.6935
forward(15)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(15).wav	forward	wav	3.8313125
right(60)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(60).wav	right	wav	5.56875
left(21)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(21).wav	left	wav	3.4133125
backward(1)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(1).wav	backward	wav	3.552625
