path,label
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(6).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(53).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(38).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(26).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(74).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(61).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(66).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(10).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(51).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(44).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(27).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(38).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(66).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(49).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(34).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(30).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(54).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(54).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(12).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(42).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(35).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(59).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(75).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(59).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(48).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(32).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(45).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(65).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(67).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(34).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(43).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(46).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(11).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(1).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(13).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(60).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(43).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(36).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(50).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(18).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(51).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(19).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(63).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(7).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(26).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(42).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(72).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(27).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(18).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(5).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(16).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(64).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(45).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(28).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(67).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(1).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(76).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(5).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(23).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(27).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(70).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(21).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(22).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(24).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(16).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(60).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(13).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(7).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(68).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(35).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(45).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(46).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(33).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(74).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(28).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(39).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(57).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(18).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(58).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(74).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(28).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(71).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(12).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(39).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(73).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(53).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(3).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(56).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(47).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(24).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(24).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(14).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(65).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(70).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(3).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(52).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(37).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(62).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(40).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(42).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(38).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(31).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(15).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(34).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(66).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(10).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(54).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(40).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(53).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(6).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(8).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(2).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(14).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(65).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(76).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(5).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(4).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(9).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(1).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(25).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(62).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(31).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(2).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(2).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(69).wav,forward
