Name	path	direction	Data type
stop(58)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(58).wav	stop	wav
right(36)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(36).wav	right	wav
right(45)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(45).wav	right	wav
left(6)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(6).wav	left	wav
stop(67)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(67).wav	stop	wav
backward(30)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(30).wav	backward	wav
left(48)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(48).wav	left	wav
forward(68)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(68).wav	forward	wav
forward(72)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(72).wav	forward	wav
backward(47)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(47).wav	backward	wav
left(25)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(25).wav	left	wav
left(11)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(11).wav	left	wav
backward(74)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(74).wav	backward	wav
stop(39)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(39).wav	stop	wav
stop(42)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(42).wav	stop	wav
left(54)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(54).wav	left	wav
stop(63)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(63).wav	stop	wav
backward(26)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(26).wav	backward	wav
stop(66)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(66).wav	stop	wav
forward(21)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(21).wav	forward	wav
forward(51)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(51).wav	forward	wav
forward(46)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(46).wav	forward	wav
right(27)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(27).wav	right	wav
left(59)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(59).wav	left	wav
backward(14)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(14).wav	backward	wav
left(1)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(1).wav	left	wav
backward(42)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(42).wav	backward	wav
forward(66)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(66).wav	forward	wav
left(74)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(74).wav	left	wav
left(36)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(36).wav	left	wav
forward(50)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(50).wav	forward	wav
backward(3)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(3).wav	backward	wav
right(32)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(32).wav	right	wav
stop(13)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(13).wav	stop	wav
backward(66)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(66).wav	backward	wav
left(51)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(51).wav	left	wav
right(73)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(73).wav	right	wav
stop(43)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(43).wav	stop	wav
right(13)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(13).wav	right	wav
right(41)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(41).wav	right	wav
stop(1)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(1).wav	stop	wav
backward(17)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(17).wav	backward	wav
stop(28)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(28).wav	stop	wav
left(75)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(75).wav	left	wav
stop(33)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(33).wav	stop	wav
stop(34)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(34).wav	stop	wav
stop(29)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(29).wav	stop	wav
stop(70)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(70).wav	stop	wav
right(12)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(12).wav	right	wav
right(38)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(38).wav	right	wav
backward(57)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(57).wav	backward	wav
stop(35)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(35).wav	stop	wav
forward(47)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(47).wav	forward	wav
forward(38)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(38).wav	forward	wav
right(20)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(20).wav	right	wav
forward(74)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(74).wav	forward	wav
backward(2)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(2).wav	backward	wav
right(67)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(67).wav	right	wav
right(7)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(7).wav	right	wav
stop(15)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(15).wav	stop	wav
backward(23)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(23).wav	backward	wav
forward(35)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(35).wav	forward	wav
forward(26)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(26).wav	forward	wav
backward(53)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(53).wav	backward	wav
right(5)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(5).wav	right	wav
forward(15)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(15).wav	forward	wav
stop(41)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(41).wav	stop	wav
forward(27)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(27).wav	forward	wav
right(16)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(16).wav	right	wav
stop(4)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(4).wav	stop	wav
backward(32)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(32).wav	backward	wav
stop(73)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(73).wav	stop	wav
left(60)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(60).wav	left	wav
left(45)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(45).wav	left	wav
left(19)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(19).wav	left	wav
left(26)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(26).wav	left	wav
stop(5)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(5).wav	stop	wav
backward(25)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(25).wav	backward	wav
backward(54)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(54).wav	backward	wav
right(75)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(75).wav	right	wav
backward(39)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(39).wav	backward	wav
backward(7)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(7).wav	backward	wav
stop(47)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(47).wav	stop	wav
backward(21)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(21).wav	backward	wav
stop(64)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(64).wav	stop	wav
forward(60)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(60).wav	forward	wav
backward(56)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(56).wav	backward	wav
right(56)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(56).wav	right	wav
left(35)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(35).wav	left	wav
backward(52)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(52).wav	backward	wav
forward(31)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(31).wav	forward	wav
left(65)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(65).wav	left	wav
backward(27)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(27).wav	backward	wav
forward(57)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(57).wav	forward	wav
stop(14)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(14).wav	stop	wav
right(40)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(40).wav	right	wav
stop(6)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(6).wav	stop	wav
stop(38)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(38).wav	stop	wav
backward(6)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(6).wav	backward	wav
stop(51)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(51).wav	stop	wav
forward(39)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(39).wav	forward	wav
right(21)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(21).wav	right	wav
stop(45)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(45).wav	stop	wav
stop(60)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(60).wav	stop	wav
forward(11)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(11).wav	forward	wav
forward(54)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(54).wav	forward	wav
forward(7)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(7).wav	forward	wav
left(39)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(39).wav	left	wav
right(22)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(22).wav	right	wav
right(26)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(26).wav	right	wav
forward(53)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(53).wav	forward	wav
stop(24)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(24).wav	stop	wav
backward(8)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(8).wav	backward	wav
stop(76)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(76).wav	stop	wav
stop(49)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(49).wav	stop	wav
stop(17)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(17).wav	stop	wav
stop(50)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(50).wav	stop	wav
backward(67)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(67).wav	backward	wav
right(65)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(65).wav	right	wav
stop(31)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(31).wav	stop	wav
backward(70)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(70).wav	backward	wav
left(68)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(68).wav	left	wav
forward(30)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(30).wav	forward	wav
left(63)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(63).wav	left	wav
right(64)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(64).wav	right	wav
forward(36)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(36).wav	forward	wav
backward(29)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(29).wav	backward	wav
right(34)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(34).wav	right	wav
forward(67)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(67).wav	forward	wav
backward(13)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(13).wav	backward	wav
forward(55)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(55).wav	forward	wav
backward(40)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(40).wav	backward	wav
forward(59)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(59).wav	forward	wav
right(39)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(39).wav	right	wav
stop(48)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(48).wav	stop	wav
stop(36)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(36).wav	stop	wav
backward(31)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(31).wav	backward	wav
right(11)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(11).wav	right	wav
backward(44)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(44).wav	backward	wav
left(67)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(67).wav	left	wav
right(31)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(31).wav	right	wav
backward(11)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(11).wav	backward	wav
right(28)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(28).wav	right	wav
forward(17)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(17).wav	forward	wav
backward(72)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(72).wav	backward	wav
backward(16)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(16).wav	backward	wav
left(18)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(18).wav	left	wav
backward(62)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(62).wav	backward	wav
forward(13)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(13).wav	forward	wav
right(4)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(4).wav	right	wav
forward(73)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(73).wav	forward	wav
right(48)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(48).wav	right	wav
backward(50)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(50).wav	backward	wav
backward(43)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(43).wav	backward	wav
stop(37)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(37).wav	stop	wav
backward(20)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(20).wav	backward	wav
left(13)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(13).wav	left	wav
right(47)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(47).wav	right	wav
right(43)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(43).wav	right	wav
right(24)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(24).wav	right	wav
right(9)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(9).wav	right	wav
backward(41)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(41).wav	backward	wav
backward(5)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(5).wav	backward	wav
stop(21)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(21).wav	stop	wav
stop(19)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(19).wav	stop	wav
right(8)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(8).wav	right	wav
left(33)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(33).wav	left	wav
left(70)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(70).wav	left	wav
stop(20)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(20).wav	stop	wav
forward(75)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(75).wav	forward	wav
left(57)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(57).wav	left	wav
left(10)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(10).wav	left	wav
left(44)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(44).wav	left	wav
forward(65)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(65).wav	forward	wav
backward(61)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(61).wav	backward	wav
right(72)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(72).wav	right	wav
stop(65)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(65).wav	stop	wav
backward(69)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(69).wav	backward	wav
forward(29)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(29).wav	forward	wav
backward(24)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(24).wav	backward	wav
stop(71)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(71).wav	stop	wav
backward(76)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(76).wav	backward	wav
right(74)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(74).wav	right	wav
backward(12)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(12).wav	backward	wav
stop(53)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(53).wav	stop	wav
left(30)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(30).wav	left	wav
left(29)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(29).wav	left	wav
backward(49)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(49).wav	backward	wav
backward(33)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(33).wav	backward	wav
left(40)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(40).wav	left	wav
left(24)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(24).wav	left	wav
left(62)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(62).wav	left	wav
left(53)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(53).wav	left	wav
backward(63)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(63).wav	backward	wav
left(72)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(72).wav	left	wav
right(59)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(59).wav	right	wav
forward(22)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(22).wav	forward	wav
left(64)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(64).wav	left	wav
backward(35)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(35).wav	backward	wav
right(58)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(58).wav	right	wav
left(73)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(73).wav	left	wav
backward(10)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(10).wav	backward	wav
stop(68)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(68).wav	stop	wav
forward(61)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(61).wav	forward	wav
backward(37)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(37).wav	backward	wav
stop(7)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(7).wav	stop	wav
left(31)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(31).wav	left	wav
stop(30)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(30).wav	stop	wav
left(2)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(2).wav	left	wav
right(51)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(51).wav	right	wav
right(55)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(55).wav	right	wav
forward(56)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(56).wav	forward	wav
right(42)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(42).wav	right	wav
right(46)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(46).wav	right	wav
stop(61)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(61).wav	stop	wav
forward(40)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(40).wav	forward	wav
right(37)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(37).wav	right	wav
backward(60)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(60).wav	backward	wav
right(29)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(29).wav	right	wav
left(52)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(52).wav	left	wav
forward(24)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(24).wav	forward	wav
backward(19)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(19).wav	backward	wav
left(58)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(58).wav	left	wav
stop(32)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(32).wav	stop	wav
stop(18)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(18).wav	stop	wav
stop(23)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(23).wav	stop	wav
forward(14)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(14).wav	forward	wav
right(14)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(14).wav	right	wav
right(50)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(50).wav	right	wav
left(49)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(49).wav	left	wav
right(18)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(18).wav	right	wav
backward(65)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(65).wav	backward	wav
stop(52)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(52).wav	stop	wav
left(37)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(37).wav	left	wav
backward(28)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(28).wav	backward	wav
stop(26)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(26).wav	stop	wav
backward(38)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(38).wav	backward	wav
left(61)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(61).wav	left	wav
left(76)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(76).wav	left	wav
left(12)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(12).wav	left	wav
forward(5)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(5).wav	forward	wav
stop(12)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(12).wav	stop	wav
forward(18)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(18).wav	forward	wav
right(10)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(10).wav	right	wav
right(71)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(71).wav	right	wav
left(71)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(71).wav	left	wav
forward(25)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(25).wav	forward	wav
left(14)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(14).wav	left	wav
right(6)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(6).wav	right	wav
right(35)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(35).wav	right	wav
left(21)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(21).wav	left	wav
backward(68)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(68).wav	backward	wav
left(56)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(56).wav	left	wav
left(9)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(9).wav	left	wav
forward(58)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(58).wav	forward	wav
stop(46)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(46).wav	stop	wav
forward(48)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(48).wav	forward	wav
stop(8)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(8).wav	stop	wav
forward(63)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(63).wav	forward	wav
forward(37)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(37).wav	forward	wav
backward(15)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(15).wav	backward	wav
forward(42)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(42).wav	forward	wav
forward(44)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(44).wav	forward	wav
left(23)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(23).wav	left	wav
left(28)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(28).wav	left	wav
forward(62)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(62).wav	forward	wav
right(52)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(52).wav	right	wav
stop(62)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(62).wav	stop	wav
left(34)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(34).wav	left	wav
backward(75)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(75).wav	backward	wav
