Name,path,direction,Data type,duration,transcript
stop(67),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(67).wav,stop,wav,3.552625,Now we will see how to make a square shaped square.
forward(45),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(45).wav,forward,wav,5.0155,I'm going to show you how to make a straight line with a straight line
backward(11),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(11).wav,backward,wav,4.3189375,The straight line is not straight enough to make it look like a position
left(18),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(18).wav,left,wav,3.0418125,Thank you for watching. See you in the next video.
backward(17),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(17).wav,backward,wav,3.274,I'm going to go to the bus stop and then I'll go to the bus station
backward(22),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(22).wav,backward,wav,3.8313125,The straight line is also good for the postion
stop(63),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(63).wav,stop,wav,2.2523125,We will be back soon with another episode
right(55),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(55).wav,right,wav,7.296,Take a turn to write a letter in the position of the person
right(11),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(11).wav,right,wav,3.366875,Take a turn to ride and then in a position making
right(49),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(49).wav,right,wav,3.350125,The turn to the right is the first round of the tournament
stop(62),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(62).wav,stop,wav,5.888,I'm going to go and get some food
stop(45),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(45).wav,stop,wav,4.288,The final result is the final result of the final round
backward(67),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(67).wav,backward,wav,5.4335,"The other side is the same as the other side, but the other side is the same as the other side"
backward(41),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(41).wav,backward,wav,2.7089375,I'm going to show you the straight line and then I'll show you the pose
stop(48),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(48).wav,stop,wav,4.62075,Turn to the left and then in the position making
stop(44),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(44).wav,stop,wav,3.9253125,I'm going to eat and then I'll go to eat the food.
left(43),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(43).wav,left,wav,4.2056875,Turn it to the left and press it down
right(1),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(1).wav,right,wav,2.87925,Take a turn right and then position yourself.
stop(61),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(61).wav,stop,wav,4.2956875,Now we will go to the other side of the river to see the lake
right(3),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(3).wav,right,wav,2.71675,Turn right and then turn left
backward(54),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(54).wav,backward,wav,4.4373125,I hope you enjoyed watching this video. Thank you for watching.
backward(44),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(44).wav,backward,wav,4.4146875,I'm going to draw a straight line on the top of the flower
forward(58),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(58).wav,forward,wav,12.736,Issa rahata yannuna in a straight line from your current position
right(29),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(29).wav,right,wav,2.9489375,Turn to right and then turn left
backward(20),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(20).wav,backward,wav,4.2260625,"After the flight, we'll go straight to the airport and then head to the station."
forward(35),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(35).wav,forward,wav,4.3525,and the right side of the right is the right side of the right.
right(7),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(7).wav,right,wav,2.995375,Take a turn to right and then in the position again
forward(64),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(64).wav,forward,wav,5.712125,This is the straight line of the road
forward(74),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(74).wav,forward,wav,5.248,I'm going to make a straight line with the same shape as the other one
forward(54),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(54).wav,forward,wav,3.970625,The straight line of the straight line is the current position
stop(21),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(21).wav,stop,wav,2.0898125,I'm going to eat something and then come back to the kitchen
forward(38),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(38).wav,forward,wav,3.2751875,This is the place where the train is going to be headed to.
backward(19),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(19).wav,backward,wav,3.8313125,The bus stop is called Strait Line which is a very popular bus stop in the country
forward(53),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(53).wav,forward,wav,6.272,The reason for that is that the position is not as good as the initial position.
right(21),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(21).wav,right,wav,3.552625,Turn to right.
left(16),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(16).wav,left,wav,3.970625,Take a turn and then lift and then you can position
stop(22),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(22).wav,stop,wav,2.205875,We will continue to take a look at the positions of the people who are in the village
forward(16),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(16).wav,forward,wav,4.3189375,The straight line is the starting point of the position
backward(63),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(63).wav,backward,wav,5.7353125,The road is very narrow and the road is very narrow
forward(70),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(70).wav,forward,wav,6.0139375,The first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage of the competition is the straight line and the first stage is the line and the first stage of the competition is the line and the first stage is the line and the first stage is the line and the first stage is the line and the first stage is the line and the first stage is the line and the first stage is the line and the first stage is the line and the stage is the line and the stage is the stage
backward(23),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(23).wav,backward,wav,4.45825,"After that, we'll go straight and then go straight ahead to the next position"
right(70),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(70).wav,right,wav,5.1780625,The right side of the turn is the left side of the turn
forward(43),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(43).wav,forward,wav,6.0373125,This is the place where the straight line is located and the main road is the roadside road
forward(55),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(55).wav,forward,wav,7.424,The straight line is a bit more straight and the position is a bit more straight
left(30),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(30).wav,left,wav,3.03325,Take a turn and turn left and then position yourself in the direction you want
left(10),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(10).wav,left,wav,2.5774375,Take a turn to left and position yourself again
stop(26),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(26).wav,stop,wav,2.71675,I'm Athinu. I'm going to visit Karan's house.
forward(47),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(47).wav,forward,wav,5.3333125,The straight line of the straight line is the current position of the line
left(47),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(47).wav,left,wav,3.9893125,Take a turn to the left and position yourself in the right direction
stop(65),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(65).wav,stop,wav,2.6674375,I'll be back with another episode of Karam Pasha
forward(68),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(68).wav,forward,wav,5.7353125,I'm going to add some more water to the pot
left(53),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(53).wav,left,wav,4.16,The trees are in the middle of the road and the trees are in the middle of the road
forward(29),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(29).wav,forward,wav,3.9009375,The straight line is a bit more difficult to get to the right position
backward(15),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(15).wav,backward,wav,3.692,The bus is now ready to go and it's time to get ready for the next position
backward(65),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(65).wav,backward,wav,6.7105625,"We are now at the bus stop, which is the bus stop of the train station"
left(29),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(29).wav,left,wav,3.784875,Turn left and go to the left of the road
right(25),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(25).wav,right,wav,2.9025,I'm going to turn it right and then I'll go and do the rest.
stop(70),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(70).wav,stop,wav,3.274,Stop and move to the left and then to the right position
stop(18),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(18).wav,stop,wav,2.1594375,I'm going to show you the current position of the horse
left(46),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(46).wav,left,wav,5.0773125,Take a turn to the left and then position it in a position
backward(18),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(18).wav,backward,wav,3.6223125,I'm going to the bus stop and I'll be there in a minute
forward(25),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(25).wav,forward,wav,4.1099375,The straight line is very difficult to reach.
right(22),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(22).wav,right,wav,3.761625,Take a turn to right and position it in the right direction
right(67),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(67).wav,right,wav,3.8545,I hope you enjoyed watching this video. See you in the next video.
left(56),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(56).wav,left,wav,5.1626875,Take a turn to the left and then go to the position you want to go
right(38),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(38).wav,right,wav,2.530875,and turn to right and push the ball forward
stop(28),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(28).wav,stop,wav,2.7399375,We will continue to take care of the current position.
forward(7),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(7).wav,forward,wav,4.0170625,This is a very nice straight line that can be used to make a straight line
left(12),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(12).wav,left,wav,3.08825,The first one is the left one and the other is the right one
left(2),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(2).wav,left,wav,3.5294375,The left is the right side of the left leg
stop(4),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(4).wav,stop,wav,1.7879375,I think that's why we have to be in a good position
stop(11),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(11).wav,stop,wav,2.7631875,Now we will move on to the position of the head.
forward(18),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(18).wav,forward,wav,5.3638125,I'm going to show you the way to do it.
left(32),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(32).wav,left,wav,3.475125,"Take a turn and left, and then in position"
forward(1),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(1).wav,forward,wav,5.1780625,The rest of the stairs are straight and straight
stop(40),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(40).wav,stop,wav,2.0713125,and we will be back soon
stop(56),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(56).wav,stop,wav,2.1554375,and we will continue to look at the other side of the road
right(14),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(14).wav,right,wav,3.0418125,I'll take a look at the other side and then I'll show you the other side
backward(13),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(13).wav,backward,wav,3.761625,We are going to the bus stop to see the straight line
right(59),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(59).wav,right,wav,5.376,Take a turn to write and then in a position again
backward(61),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(61).wav,backward,wav,2.6245,Thank you for watching
stop(58),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(58).wav,stop,wav,3.2213125,Now we can move on to the next position
left(68),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(68).wav,left,wav,5.0851875,Take a turn to the left and then position it in the same way
forward(17),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(17).wav,forward,wav,4.62075,The first row is the first row and the second row is the first row
stop(43),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(43).wav,stop,wav,3.3706875,The next step is to make sure the position is right
stop(76),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(76).wav,stop,wav,2.6779375,Thank you for watching.
stop(47),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(47).wav,stop,wav,2.7093125,The reason for this is the position.
right(63),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(63).wav,right,wav,4.9706875,Take a turn to write or write a position
forward(36),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(36).wav,forward,wav,4.1105,This is the first time I've seen a person with a straight face with a straight face.
left(65),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(65).wav,left,wav,3.00875,Then we went to the left and we went to the right.
left(48),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(48).wav,left,wav,5.4566875,Turn right and move your head to the left of the position
stop(52),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(52).wav,stop,wav,3.072,Thank you for watching.
stop(14),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(14).wav,stop,wav,2.438125,Now I will show you the current position
right(74),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(74).wav,right,wav,4.1813125,Then you can turn to right and then go to the left.
forward(49),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(49).wav,forward,wav,5.1780625,Now we can see the position of the head
backward(49),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(49).wav,backward,wav,6.1533125,Now we can see the straight line that we have drawn earlier.
left(63),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(63).wav,left,wav,5.248,Take a turn to the left or the position you want to position
backward(5),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(5).wav,backward,wav,4.8761875,The number of people who are in the group is 1 to 1.
forward(13),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(13).wav,forward,wav,3.8313125,This is the straight line where we are going to go to the post station
left(39),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(39).wav,left,wav,3.9925625,Take a turn to the left and then go in and position yourself
left(72),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(72).wav,left,wav,4.48,Take a turn to left of the angle in the position making
right(58),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(58).wav,right,wav,4.48,Thank you for watching from your current position
backward(26),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(26).wav,backward,wav,4.1099375,The straight line is a bit more difficult because of the position
backward(57),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(57).wav,backward,wav,7.2106875,I'm going to make a straight line for the front and the back
forward(27),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(27).wav,forward,wav,3.947375,Now we can see the straight line and the position of the front wheel
forward(56),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(56).wav,forward,wav,6.0373125,Now we can see the current position of the straight line
forward(26),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(26).wav,forward,wav,4.0635,This is the straight line which is the reason for the position
backward(16),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(16).wav,backward,wav,4.3189375,The right side of the foot is straight and the left side is straight
right(37),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(37).wav,right,wav,3.53,Take a turn to right and position your neck in
right(54),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(54).wav,right,wav,3.483,Take a turn to write or then in a position making
stop(41),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(41).wav,stop,wav,1.50925,I'll be back soon with another episode of Karan Pooja
right(51),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(51).wav,right,wav,3.968,Take a turn to write and then position it in the right direction
left(23),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(23).wav,left,wav,3.7151875,The turn is ready and the other one is in position
forward(6),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(6).wav,forward,wav,4.435,The right side of the wall is straight and the left side is horizontal.
left(36),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(36).wav,left,wav,4.1105,Take a turn to the left and then in position making
backward(60),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(60).wav,backward,wav,5.9733125,The first line is straight and the second is straight
forward(62),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(62).wav,forward,wav,5.0851875,The first step is to make sure the line is straight and the position is straight
backward(6),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(6).wav,backward,wav,5.0619375,Thank you
right(44),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(44).wav,right,wav,3.3979375,Take a turn to the right and then position yourself again
backward(38),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(38).wav,backward,wav,3.176,The straight line is very important for the piti
right(73),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(73).wav,right,wav,4.3946875,"Take a turn to right, and then move to the left"
right(12),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(12).wav,right,wav,2.6935,and the right turn is the right position
right(18),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(18).wav,right,wav,2.786375,Now turn it and place it in the position
stop(38),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(38).wav,stop,wav,1.985,Now we will move on to Karanth's position
left(54),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(54).wav,left,wav,3.9009375,Take a turn to the left or then in the position again
right(2),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(2).wav,right,wav,3.552625,Turn to right and then in the position again
right(24),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(24).wav,right,wav,3.2275625,Turn right and then go straight to the post
right(34),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(34).wav,right,wav,2.6083125,and the right turn is the position of the right hand
backward(3),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(3).wav,backward,wav,3.7151875,The first step is to make sure the thread is straight and then make a slip knot
right(30),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(30).wav,right,wav,3.21525,Take turn to right and then in the position
stop(75),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(75).wav,stop,wav,3.7355,Thank you for watching
backward(58),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(58).wav,backward,wav,3.1794375,The path is very difficult to find the right path and we have to go through it.
forward(28),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(28).wav,forward,wav,4.0866875,The straight line is very important to keep the current in a straight line
backward(47),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(47).wav,backward,wav,5.7813125,The position of the bus is also very good when you are on the bus
forward(31),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(31).wav,forward,wav,4.0905,This is the place where the first stage is held.
right(10),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(10).wav,right,wav,2.7399375,Turn to right and go to the left
right(40),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(40).wav,right,wav,2.6726875,Turn to right and go to the right position
stop(13),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(13).wav,stop,wav,2.020125,We will continue our journey to the Karanaharangam.
stop(16),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(16).wav,stop,wav,2.229125,Let's eat and then go to the next place
stop(60),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(60).wav,stop,wav,2.1973125,The next step is to place the basket in the right position
backward(8),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(8).wav,backward,wav,5.0619375,The street is very beautiful and the street is very beautiful
stop(36),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(36).wav,stop,wav,2.561625,I think that's why we have to take a position.
right(53),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(53).wav,right,wav,3.2426875,The tree is in the middle of the road and we can see the tree in the distance
stop(6),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(6).wav,stop,wav,2.6935,I'm Tinna and I'm going to show you how to make it.
left(15),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(15).wav,left,wav,2.786375,Turn to the left and move your right foot to the left
forward(3),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(3).wav,forward,wav,4.551125,The straight line is used to make the position of the head
forward(5),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(5).wav,forward,wav,4.04025,This is the straight line that we will be using to make the horizontal position
backward(69),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(69).wav,backward,wav,5.805,The pin is placed in a straight line so that the position of the pin is aligned
forward(51),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(51).wav,forward,wav,5.0346875,This is the first time I've seen a straight line with a straight line
right(26),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(26).wav,right,wav,2.995375,Take a turn to right and then in the position again
right(23),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(23).wav,right,wav,3.1579375,Turn right and then turn left
right(17),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(17).wav,right,wav,2.9489375,I'll turn it and show you the position
backward(75),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(75).wav,backward,wav,4.296375,and the position of the two-wheeled vehicles is also very good
right(50),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(50).wav,right,wav,4.886125,I'm going to turn right and then I'll go to the position I'm in.
right(42),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(42).wav,right,wav,3.4105625,Turn to right and then position
forward(72),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(72).wav,forward,wav,4.133125,The first row is the first row and the second row is the first row
backward(45),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(45).wav,backward,wav,6.656,Then we can go straight ahead and see the other side of the road
left(70),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(70).wav,left,wav,5.387,Turn to the left and then turn left
